,Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
767,2011,Harry Potter E As Relíquias Da Morte – Parte 2,Ficção,Estrangeira,Warner,951
438,2010,Harry Potter E As Relíquias Da Morte - Parte 1,Ficção,Estrangeira,Warner,929
175,2009,Lua Nova,Ficção,Estrangeira,Paris,841
8,2009,A Era Do Gelo 3,Animação,Estrangeira,Fox,777
868,2011,Piratas Do Caribe: Navegando Em Águas Misteriosas,Ficção,Estrangeira,Disney,767
147,2009,Harry Potter E O Enigma Do Príncipe,Ficção,Estrangeira,Warner,760
571,2010,Shrek Para Sempre,Animação,Estrangeira,Paramount,757
759,2011,Gato De Botas,Animação,Estrangeira,Paramount,753
59,2009,Avatar,Ficção,Estrangeira,Fox,738
590,2010,Tropa De Elite 2,Ficção,Brasileira,Zazen,733
784,2011,Kung Fu Panda 2,Animação,Estrangeira,Paramount,718
1,2009,2012,Ficção,Estrangeira,Sony,684
367,2010,As Crônicas De Nárnia: A Viagem Do Peregrino Da Alvorada,Ficção,Estrangeira,Fox,653
314,2009,X-Men Origens: Wolverine,Ficção,Estrangeira,Fox,646
505,2010,O Homem De Ferro 2,Ficção,Estrangeira,Paramount,632
805,2011,Missão: Impossível - Protocolo Fantasma,Ficção,Estrangeira,Paramount,605
48,2009,Anjos E Demônios,Ficção,Estrangeira,Sony,595
858,2011,Os Smurfs,Animação,Estrangeira,Sony,562
694,2011,Capitão América: O Primeiro Vingador,Ficção,Estrangeira,Paramount,560
285,2009,Transformers: A Vingança Dos Derrotados,Ficção,Estrangeira,Paramount,554
834,2011,O Planeta Dos Macacos: A Origem,Ficção,Estrangeira,Fox,551
297,2009,Uma Noite No Museu 2,Ficção,Estrangeira,Fox,515
695,2011,Carros 2,Animação,Estrangeira,Disney,515
761,2011,Gigantes De Aço,Ficção,Estrangeira,Disney,515
341,2010,A Saga Crepúsculo: Eclipse,Ficção,Estrangeira,Paris,502
773,2011,Imortais,Ficção,Estrangeira,Imagem,499
206,2009,O Exterminador Do Futuro: A Salvação,Ficção,Estrangeira,Sony,497
588,2010,Toy Story 3,Animação,Estrangeira,Sony,496
589,2010,Tron - O Legado,Ficção,Estrangeira,Sony,493
350,2010,Alice No País Das Maravilhas,Ficção,Estrangeira,Sony,492
737,2011,Enrolados,Animação,Estrangeira,Sony,465
469,2010,Megamente,Animação,Estrangeira,Paramount,457
859,2011,Os Três Mosqueteiros,Ficção,Estrangeira,Playarte,449
488,2010,Nosso Lar,Ficção,Brasileira,Fox,444
668,2011,As Mães De Chico Xavier,Ficção,Brasileira,Paris,441
431,2010,Fúria De Titãs,Ficção,Estrangeira,Warner,438
226,2009,Os Normais 2,Ficção,Brasileira,Imagem,433
681,2011,Besouro Verde,Ficção,Estrangeira,Sony,430
559,2010,Resident Evil 4: Recomeço,Ficção,Estrangeira,Sony,430
561,2010,Robin Hood,Ficção,Estrangeira,Universal,414
900,2011,Santuário,Ficção,Estrangeira,Paris,410
454,2010,Karate Kid,Ficção,Estrangeira,Sony,399
670,2011,As Viagens De Gulliver,Ficção,Estrangeira,Fox,397
389,2010,Chico Xavier,Ficção,Brasileira,Sony/Downtown,392
698,2011,Cilada.Com,Ficção,Brasileira,Downtown/Paris/Riofilme,389
470,2010,Meu Malvado Favorito,Animação,Estrangeira,Universal,384
352,2010,Alvin E Os Esquilos 2,Animação,Estrangeira,Fox,384
397,2010,Como Treinar Seu Dragão,Animação,Estrangeira,Paramount,378
186,2009,Monstros Vs Alienígenas,Animação,Estrangeira,Paramount,370
134,2009,G.I. Joe - A Origem De Cobra,Ficção,Estrangeira,Paramount,368
550,2010,Príncipe Da Pérsia: As Areias Do Tempo,Ficção,Estrangeira,Sony,366
766,2011,Happy Feet 2,Animação,Estrangeira,Warner,365
704,2011,Conan - O Bárbaro,Ficção,Estrangeira,Califórnia,360
460,2010,"Lula, O Filho Do Brasil",Ficção,Brasileira,Downtown/Europa,360
905,2011,Sem Saída,Ficção,Estrangeira,Paris,359
785,2011,Lanterna Verde,Ficção,Estrangeira,Warner,354
203,2009,O Dia Em Que A Terra Parou,Ficção,Estrangeira,Fox,354
688,2011,Bruna Surfistinha,Ficção,Brasileira,Imagem/Riofilme,347
718,2011,De Pernas Pro Ar,Ficção,Brasileira,Downtown/Paris,346
886,2011,Rango,Animação,Estrangeira,Paramount,336
770,2011,Hop,Animação,Estrangeira,Universal,330
902,2011,"Se Beber, Não Case! 2",Ficção,Estrangeira,Warner,327
748,2011,Eu Sou O Número Quatro,Ficção,Estrangeira,Disney,325
671,2011,Assalto Ao Banco Central,Ficção,Brasileira,Fox,325
420,2010,Encontro Explosivo,Ficção,Estrangeira,Fox,324
570,2010,Sherlock Holmes,Ficção,Estrangeira,Warner,322
253,2009,Se Eu Fosse Você 2,Ficção,Brasileira,Fox,315
336,2010,A Origem,Ficção,Estrangeira,Warner,313
715,2011,Cowboys E Aliens,Ficção,Estrangeira,Paramount,311
757,2011,Fúria Sobre Rodas,Ficção,Estrangeira,Warner,306
898,2011,Roubo Nas Alturas,Ficção,Estrangeira,Universal,304
300,2009,Up - Altas Aventuras,Animação,Estrangeira,Sony,304
874,2011,Premonição 5,Ficção,Estrangeira,Warner,303
129,2009,Força G,Ficção,Estrangeira,Sony,303
864,2011,Pânico 4,Ficção,Estrangeira,Imagem,301
266,2009,Star Trek,Ficção,Estrangeira,Paramount,297
783,2011,Justin Bieber: Never Say Never,Documentário,Estrangeira,Paramount,297
828,2011,O Homem Do Futuro,Ficção,Brasileira,Paramount,291
777,2011,Invasão Do Mundo: Batalha De Los Angeles,Ficção,Estrangeira,Sony,288
740,2011,Esposa De Mentirinha,Ficção,Estrangeira,Sony,284
216,2009,O Menino Da Porteira,Ficção,Brasileira,Sony,280
543,2010,Percy Jackson E O Ladrão De Raios,Ficção,Estrangeira,Fox,280
796,2011,Manda-Chuva O Filme,Animação,Estrangeira,Playarte,277
862,2011,Padre,Ficção,Estrangeira,Sony,277
509,2010,O Lobisomem,Ficção,Estrangeira,Universal,275
363,2010,"Aparecida, O Milagre",Ficção,Brasileira,Paramount,270
562,2010,Salt,Ficção,Estrangeira,Sony,270
304,2009,Velozes E Furiosos 4,Ficção,Estrangeira,Universal,269
451,2010,Jogos Mortais - O Final,Ficção,Estrangeira,Imagem,268
843,2011,O Turista,Ficção,Estrangeira,Sony,267
833,2011,O Palhaço,Ficção,Brasileira,Imagem,267
763,2011,Gnomeu E Julieta,Animação,Estrangeira,Imagem,264
738,2011,Entrando Numa Fria Maior Ainda Com A Família,Ficção,Estrangeira,Paramount,263
724,2011,Deu A Louca Na Chapeuzinho 2,Animação,Estrangeira,Imagem,259
524,2010,O Último Mestre Do Ar,Ficção,Estrangeira,Paramount,258
856,2011,Os Pinguins Do Papai,Ficção,Estrangeira,Fox,257
424,2010,Esquadrão Classe A,Ficção,Estrangeira,Fox,256
21,2009,A Pantera Cor De Rosa 2,Ficção,Estrangeira,Sony,253
690,2011,Caça Às Bruxas,Ficção,Estrangeira,Imagem,248
56,2009,Atividade Paranormal,Ficção,Estrangeira,Playarte,247
394,2010,"Comer, Rezar E Amar",Ficção,Estrangeira,Sony,245
849,2011,Operação Presente,Animação,Estrangeira,Sony,243
313,2009,Watchmen - O Filme,Ficção,Estrangeira,Paramount,240
775,2011,Incontrolável,Ficção,Estrangeira,Fox,238
641,2011,A Hora Do Espanto,Ficção,Estrangeira,Disney,235
223,2009,Operação Valquíria,Ficção,Estrangeira,Fox,233
847,2011,O Zelador Animal,Ficção,Estrangeira,Sony,232
181,2009,Michael Jackson This Is It,Documentário,Estrangeira,Sony,231
549,2010,Premonição 4,Ficção,Estrangeira,Playarte,231
703,2011,Compramos Um Zoológico,Ficção,Estrangeira,Fox,227
620,2011,11-11-11,Ficção,Estrangeira,Vinny Filmes,226
663,2011,Animais Unidos Jamais Serão Vencidos,Animação,Estrangeira,Playarte,223
333,2010,A Lenda Dos Guardiões,Animação,Estrangeira,Warner,223
18,2009,A Mulher Invisível,Ficção,Brasileira,Warner,220
288,2009,Um Faz De Conta Que Acontece,Ficção,Estrangeira,Sony,218
24,2009,A Princesa E O Sapo,Animação,Estrangeira,Sony,217
157,2009,Inimigos Públicos,Ficção,Estrangeira,Universal,217
492,2010,O Aprendiz De Feiticeiro,Ficção,Estrangeira,Sony,217
315,2009,Xuxa Em O Mistério De Feiurinha,Ficção,Brasileira,Playarte,215
674,2011,Atividade Paranormal 3,Ficção,Estrangeira,Paramount,208
242,2009,Presságio,Ficção,Estrangeira,Paris,208
557,2010,Red - Aposentados E Perigosos,Ficção,Estrangeira,Paris,208
439,2010,High School Musical - O Desafio,Ficção,Brasileira,Sony,206
880,2011,Qualquer Gato,Ficção,Brasileira,Disney,206
252,2009,"Se Beber, Não Case!",Ficção,Estrangeira,Warner,204
97,2009,Distrito 9,Ficção,Estrangeira,Sony,204
164,2009,Jogos Mortais 6,Ficção,Estrangeira,Sony,204
201,2009,O Curioso Caso De Benjamin Button,Ficção,Estrangeira,Warner,202
569,2010,Sex And The City 2,Ficção,Estrangeira,Warner,201
658,2011,Amizade Colorida,Ficção,Estrangeira,Sony,201
665,2011,As Aventuras De Sammy,Animação,Estrangeira,Playarte,201
889,2011,Reféns,Ficção,Estrangeira,Imagem,198
508,2010,O Livro De Eli,Ficção,Estrangeira,Sony,196
53,2009,Arraste-Me Para O Inferno,Ficção,Estrangeira,Universal,196
544,2010,Piranha 3D,Ficção,Estrangeira,Imagem,194
602,2010,Um Parto De Viagem,Ficção,Estrangeira,Warner,192
245,2009,Quem Quer Ser Um Milionário?,Ficção,Estrangeira,Europa,191
838,2011,O Retorno De Johnny English,Ficção,Estrangeira,Universal,191
432,2010,Garfield 3D - Um Super Herói Animal,Animação,Estrangeira,Playarte,190
58,2009,Austrália,Ficção,Estrangeira,Fox,190
395,2010,Como Cães E Gatos 2 – A Vingança De Kitty Galore,Ficção,Estrangeira,Warner,188
444,2010,Ilha Do Medo,Ficção,Estrangeira,Paramount,188
685,2011,Brasil Animado 3D,Animação,Brasileira,Imagem,188
786,2011,Larry Crowne - O Amor Está De Volta,Ficção,Estrangeira,Paris,188
251,2009,Salve Geral,Ficção,Brasileira,Sony/Downtown,186
832,2011,O Noivo Da Minha Melhor Amiga,Ficção,Estrangeira,Playarte,186
664,2011,Apollo 18,Ficção,Estrangeira,Playarte,184
875,2011,Professora Sem Classe,Ficção,Estrangeira,Sony,183
220,2009,O Sequestro Do Metrô 123,Ficção,Estrangeira,Sony,183
914,2011,Sucker Punch - Mundo Surreal,Ficção,Estrangeira,Warner,183
270,2009,Tá Chovendo Hamburger,Animação,Estrangeira,Sony,182
257,2009,Sempre Ao Seu Lado,Ficção,Estrangeira,Imagem,181
433,2010,Gente Grande,Ficção,Estrangeira,Sony,179
523,2010,O Último Exorcismo,Ficção,Estrangeira,Playarte,178
146,2009,Hannah Montana - O Filme,Ficção,Estrangeira,Sony,177
533,2010,Os Mercenários,Ficção,Estrangeira,Califórnia,177
479,2010,Muita Calma Nessa Hora,Ficção,Brasileira,Europa/Riofilme,176
607,2010,Uma Noite Fora De Série,Ficção,Estrangeira,Fox,175
700,2011,Cisne Negro,Ficção,Estrangeira,Fox,175
