Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2009,1983.. O Ano Azul,Documentário,Brasileira,Prana Filmes,2
2009,2012,Ficção,Estrangeira,Sony,684
2009,23 Anos Em 7 Segundos: 1977 - O Fim Do Jejum Corinthiano,Documentário,Brasileira,Fox,7
2009,3 Macacos,Ficção,Estrangeira,Imovision,2
2009,500 Dias Com Ela,Ficção,Estrangeira,Fox,37
2009,9 - A Salvação,Animação,Estrangeira,Playarte,138
2009,À Deriva,Ficção,Brasileira,Universal,41
2009,A Era Da Estupidez,Documentário,Estrangeira,Moviemobz,16
2009,A Era Do Gelo 3,Animação,Estrangeira,Fox,777
2009,A Erva Do Rato,Ficção,Brasileira,República Pureza,1
2009,A Festa Da Menina Morta,Ficção,Brasileira,Imovision,6
2009,A Festa Do Garfield,Animação,Estrangeira,Playarte,110
2009,A Garota De Mônaco,Ficção,Estrangeira,Imovision,4
2009,A Garota Ideal,Ficção,Estrangeira,Califórnia,4
2009,A Ilha Da Morte,Ficção,Brasileira,Imovision,3
2009,A Janela,Ficção,Estrangeira,Imovision,12
2009,A Montanha Enfeitiçada,Ficção,Estrangeira,Sony,104
2009,A Morte Inventada - Alienação Parental,Documentário,Brasileira,Caraminhola Produções Artísticas,1
2009,A Mulher Invisível,Ficção,Brasileira,Warner,220
2009,A Onda,Ficção,Estrangeira,Moviemobz,14
2009,A Órfã,Ficção,Estrangeira,Warner,76
2009,A Pantera Cor De Rosa 2,Ficção,Estrangeira,Sony,253
2009,A Partida,Ficção,Estrangeira,Paris,17
2009,A Pedra Mágica,Ficção,Estrangeira,Warner,60
2009,A Princesa E O Sapo,Animação,Estrangeira,Sony,217
2009,A Procura De Eric,Ficção,Estrangeira,Califórnia,9
2009,A Proposta,Ficção,Estrangeira,Sony,173
2009,A Teta Assustada,Ficção,Estrangeira,Paris,18
2009,A Trilha,Ficção,Estrangeira,Imagem,30
2009,A Troca,Ficção,Estrangeira,Universal,98
2009,A Verdade Nua E Crua,Ficção,Estrangeira,Sony,168
2009,A Vida Íntima De Pippa Lee,Ficção,Estrangeira,Playarte,15
2009,A Vida Secreta Das Abelhas,Ficção,Estrangeira,Fox,9
2009,Abba O Filme,Documentário,Estrangeira,Moviemobz,4
2009,Abraços Partidos,Ficção,Estrangeira,Universal,70
2009,Aconteceu Em Woodstock,Ficção,Estrangeira,Universal,6
2009,Adagio Sostenuto,Ficção,Brasileira,Pipa Produções,1
2009,Alexandra,Ficção,Estrangeira,Filmes Do Estação,2
2009,Algo Que Você Precisa Saber,Ficção,Estrangeira,Imovision,8
2009,Alguém Que Me Ame De Verdade,Ficção,Estrangeira,Moviemobz,4
2009,Alguns Motivos Para Não Se Apaixonar,Ficção,Estrangeira,Panda Filmes,1
2009,Alma Perdida,Ficção,Estrangeira,Universal,120
2009,Almoço Em Agosto,Ficção,Estrangeira,Imovision,13
2009,"Alô, Alô, Terezinha!",Documentário,Brasileira,Imovision,58
2009,Amantes,Ficção,Estrangeira,Playarte,50
2009,American Teen,Documentário,Estrangeira,Paris,1
2009,Anabazys,Documentário,Brasileira,Riofilme,4
2009,Anjos Da Noite - A Rebelião,Ficção,Estrangeira,Sony,165
2009,Anjos E Demônios,Ficção,Estrangeira,Sony,595
2009,Anticristo,Ficção,Estrangeira,Califórnia,14
2009,Apenas O Fim,Ficção,Brasileira,Filmes Do Estação,5
2009,Aquele Querido Mês De Agosto,Ficção,Estrangeira,Filmes Do Estação,2
2009,Arranca-Me A Vida,Ficção,Estrangeira,Fox,2
2009,Arraste-Me Para O Inferno,Ficção,Estrangeira,Universal,196
2009,As Cantoras Do Rádio,Documentário,Brasileira,Panda Filmes,4
2009,As Testemunhas,Ficção,Estrangeira,Filmes Do Estação,1
2009,Atividade Paranormal,Ficção,Estrangeira,Playarte,247
2009,Atrizes,Ficção,Estrangeira,Pandora Filmes,2
2009,Austrália,Ficção,Estrangeira,Fox,190
2009,Avatar,Ficção,Estrangeira,Fox,738
2009,Aventuras Do Surf Ii,Documentário,Brasileira,Universal,61
2009,Barry & A Banda Das Minhocas,Animação,Estrangeira,Imagem,79
2009,Bastardos Inglórios,Ficção,Estrangeira,Universal,175
2009,Batatinha Poeta Do Samba,Documentário,Brasileira,Portfolium Laboratório De Imagens,1
2009,"Beijo Na Boca, Não!",Ficção,Estrangeira,Pandora Filmes,1
2009,Bela Noite Para Voar,Ficção,Brasileira,Universal,20
2009,Bem-Vindo,Ficção,Estrangeira,Imovision,5
2009,Besouro,Ficção,Brasileira,Sony,145
2009,Bons Costumes,Ficção,Estrangeira,Sony,3
2009,Br-3 - A Peça,Documentário,Brasileira,Casa Azul,1
2009,Br-3 Documentário,Documentário,Brasileira,Casa Azul,2
2009,Bruno,Ficção,Estrangeira,Sony,89
2009,Budapeste,Ficção,Brasileira,Imagem,40
2009,Caramelo,Ficção,Estrangeira,Imovision,14
2009,Caro Sr. Horten,Ficção,Estrangeira,Imovision,1
2009,Casamento Silencioso,Ficção,Estrangeira,Imovision,3
2009,Che,Ficção,Estrangeira,Europa,34
2009,Che 2 - A Guerrilha,Ficção,Estrangeira,Europa,34
2009,Cidadão Boilesen,Documentário,Brasileira,Imovision,2
2009,"Cinderelas, Lobos E Um Príncipe Encantado",Documentário,Brasileira,Pipa Produções,5
2009,Cine Cocoricó: As Aventuras Na Cidade,Ficção,Brasileira,Moviemobz,29
2009,Cinzas Do Passado Redux,Ficção,Estrangeira,Imagem,8
2009,Coco Antes De Chanel,Ficção,Estrangeira,Warner,19
2009,Código De Conduta,Ficção,Estrangeira,Imagem,132
2009,Confissões De Uma Garota De Programa,Ficção,Estrangeira,Paris,25
2009,Contratempo - Uma Valsa Da Dor,Documentário,Brasileira,Videofilmes,6
2009,Coração Vagabundo,Documentário,Brasileira,Paramount,9
2009,Coraline E O Mundo Secreto,Animação,Estrangeira,Universal,160
2009,Corpo Do Rio,Documentário,Brasileira,Pequena Central,2
2009,De Profundis,Animação,Estrangeira,Europa,4
2009,"De Repente, California",Ficção,Estrangeira,Ab Filmes,1
2009,Deixa Ela Entrar,Ficção,Estrangeira,Filmes Da Mostra,12
2009,Delírios De Consumo De Becky Bloom,Ficção,Estrangeira,Sony,78
2009,Desejo E Perigo,Ficção,Estrangeira,Europa,12
2009,Dezessete Outra Vez,Ficção,Estrangeira,Playarte,147
2009,Dia Dos Namorados Macabro 3D,Ficção,Estrangeira,Playarte,137
2009,Diário Proibido,Ficção,Estrangeira,Playarte,26
2009,Distrito 9,Ficção,Estrangeira,Sony,204
2009,Divã,Ficção,Brasileira,Downtown/Riofilme,137
2009,Do Começo Ao Fim,Ficção,Brasileira,Downtown/Riofilme,16
2009,Doce De Coco,Ficção,Brasileira,Pandora Filmes,1
2009,Dois Em Um,Ficção,Estrangeira,Pandora Filmes,4
2009,Donkey Xote,Animação,Estrangeira,Imagem,91
2009,Dragonball Evolution,Ficção,Estrangeira,Fox,155
2009,Duplicidade,Ficção,Estrangeira,Universal,50
2009,Dúvida,Ficção,Estrangeira,Sony,36
2009,É Proibido Fumar,Ficção,Brasileira,Playarte,42
2009,Efeito Borboleta: Revelação,Ficção,Estrangeira,Imagem,81
2009,Ele Não Está Tão Afim,Ficção,Estrangeira,Playarte,145
2009,Eliezer Batista - O Engenheiro Do Brasil,Documentário,Brasileira,Espaço Filmes,10
2009,Embarque Imediato,Ficção,Brasileira,Europa/Riofilme,76
2009,Encontro De Casais,Ficção,Estrangeira,Universal,166
2009,Enquanto O Sol Não Vem,Ficção,Estrangeira,Pandora Filmes,4
2009,Entre A Luz E A Sombra,Documentário,Brasileira,Videofilmes,5
2009,Entre Os Dedos,Ficção,Brasileira,Polifilmes,1
2009,Entre Os Muros Da Escola,Ficção,Estrangeira,Imovision,33
2009,Ervas Daninhas,Ficção,Estrangeira,Imovision,14
